Gemeinden in Deutschland nach Fläche und Bevölkerung am 31.12.1990 (Jahr) zum Gebietsstand 01.01.1991 ;;;;;;;;;;;;
;;;;;;;;;;;;
Satz-art;;Gemeindeschlüssel;;;;;Gemeindename;Fläche in km2;Bevölkerung;;;
;;Land;RB;Kreis;;Gem;;;insgesamt;männlich;weiblich;je km2
;;Gebietsstand am 01.01.1991;;;;;;am 31.12.1990 (Jahr);;;;
;;;;;;;;;;;;
60;;1;0;53;;64;Klein Pampau;4,17;567;276;291;136
60;;1;0;53;;66;Klein Zecher;9,11;222;107;115;24
60;;1;0;53;;67;Klempau;10,23;551;289;262;54
60;;1;0;53;;68;Klinkrade;7,4;426;208;218;58
60;;1;0;53;;69;Koberg;11,98;525;261;264;44
60;;1;0;53;;70;Köthel;1,52;212;107;105;139
60;;1;0;53;;71;Kollow;8,21;602;342;260;73
60;;1;0;53;;72;Kröppelshagen-Fahrendorf;8,37;927;450;477;111
60;;1;0;53;;73;Krüzen;8,24;261;135;126;32
60;;1;0;53;;74;Krukow;7,94;164;84;80;21
60;;1;0;53;;75;Krummesse;3,41; 1 474;716;758;432
60;;1;0;53;;76;Kuddewörde;7,34; 1 173;571;602;160
60;;1;0;53;;77;Kühsen;7,28;349;172;177;48
60;;1;0;53;;78;Kulpin;6,06;181;79;102;30
60;;1;0;53;;79;Labenz;5,75;526;265;261;91
60;;1;0;53;;80;Langenlehsten;23,37;114;63;51;5
60;;1;0;53;;81;Lankau;19,12;444;228;216;23
60;;1;0;53;;82;Lanze;9,05;191;91;100;21
60;;1;0;53;;83;Lauenburg/ Elbe, Stadt;9,55; 11 330; 5 418; 5 912;1 186
60;;1;0;53;;84;Lehmrade;11,4;385;186;199;34
60;;1;0;53;;85;Linau;9,65;896;437;459;93
60;;1;0;53;;86;Lüchow;4,61;191;94;97;41
60;;1;0;53;;87;Lütau;11,24;580;283;297;52
60;;1;0;53;;88;Mechow;4,43;93;42;51;21
60;;1;0;53;;89;Möhnsen;7,47;479;243;236;64
60;;1;0;53;;90;Mölln, Stadt;25,05; 17 292; 7 998; 9 294;690
60;;1;0;53;;91;Mühlenrade;3,74;177;90;87;47
60;;1;0;53;;92;Müssen;11,46;829;424;405;72
60;;1;0;53;;93;Mustin;11,94;614;305;309;51
60;;1;0;53;;94;Niendorf bei Berkenthin;3,99;145;75;70;36
60;;1;0;53;;95;Niendorf/ Stecknitz;8,41;504;241;263;60
60;;1;0;53;;96;Nusse;6,22;852;417;435;137
60;;1;0;53;;97;Panten;13,83;538;294;244;39
60;;1;0;53;;98;Pogeez;4,51;360;188;172;80
60;;1;0;53;;99;Poggensee;5,44;270;141;129;50
