Gemeinden in Deutschland nach Fläche, Bevölkerung und Postleitzahl am 31.12.2015 (Jahr);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Satz-art;Text-kenn-zeichen;Regionalschlüssel (RS);;;;;Gemeindename;"Fläche km2
am 31.12.2015 (Jahr) 1)";Bevölkerung;;;;Post-leit-zahl 2);Geografische Mittelpunktkoordinaten;;Reisegebiete;;Grad der Verstädterung;;
;;Land;RB;Kreis;VB;Gem;;;insgesamt;männlich;weiblich;je km2;;Längengrad;Breitengrad;Schlüssel;Bezeichnung;Schlüssel;Bezeichnung;
;;Gebietsstand am 31.12.2015 (Jahr), Fläche im Juli 2017 revidiert  ;;;;;;;"am 31.12.2015 (Jahr) 
auf Grundlage des Zensus 2011";;;;;Zuordnungsstand am 31.12.2014 (Jahr);;;;;;
;;;;;;;;;;;;;;;;;;;;
60;64;07;2;33;5002;060;Salm;9,09;  322;  166;  156;  35;54570;6,690979;50,152462;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5002;204;Birresborn;20,88; 1 149;  562;  587;  55;54574;6,625574;50,175582;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5002;209;Densborn;14,42;  517;  268;  249;  36;54570;6,602165;50,126268;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5002;211;Duppach;10,28;  290;  146;  144;  28;54597;6,564866;50,260198;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5002;223;Kopp;8,40;  187;  92;  95;  22;54574;6,585691;50,17554;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5002;227;Mürlenbach;21,64;  534;  261;  273;  25;54570;6,599024;50,150551;J12;Eifel;03;gering besiedelt;
50;53;07;2;33;5003;;Hillesheim;;  ;  ;  ;;;;;;;;;
60;64;07;2;33;5003;002;Basberg;2,32;  88;  44;  44;  38;54578;6,606283;50,294238;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5003;005;Berndorf;9,14;  515;  254;  261;  56;54578;6,697495;50,304821;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5003;019;Dohm-Lammersdorf;4,54;  170;  86;  84;  37;54576;6,662659;50,261063;J12;Eifel;03;gering besiedelt;
60;63;07;2;33;5003;029;Hillesheim, Stadt;20,63; 3 119; 1 527; 1 592;  151;54576;6,672058;50,291371;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5003;038;Kerpen (Eifel);8,22;  467;  231;  236;  57;54578;6,7295;50,309527;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5003;053;Oberbettingen;6,17;  730;  369;  361;  118;54578;6,62547;50,286013;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5003;054;Oberehe-Stroheich;10,30;  296;  154;  142;  29;54578;6,770381;50,280611;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5003;076;Üxheim;30,98; 1 413;  707;  706;  46;54579;6,759467;50,341184;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5003;080;Walsdorf;10,83;  921;  470;  451;  85;54578;6,710949;50,277842;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5003;083;Wiesbaum;15,18;  613;  318;  295;  40;54578;6,669197;50,341207;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5003;229;Nohn;11,08;  433;  213;  220;  39;54578;6,786624;50,330111;J12;Eifel;03;gering besiedelt;
50;53;07;2;33;5004;;Kelberg;;  ;  ;  ;;;;;;;;;
60;64;07;2;33;5004;003;Beinhausen;2,63;  82;  41;  41;  31;54552;6,883031;50,265284;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5004;010;Boxberg;5,64;  224;  117;  107;  40;54552;6,875055;50,272869;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5004;032;Hörschhausen;2,38;  129;  67;  62;  54;54552;6,937132;50,243981;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5004;037;Katzwinkel;3,85;  140;  76;  64;  36;54552;6,920929;50,247773;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5004;048;Neichen;2,95;  119;  57;  62;  40;54552;6,870673;50,261146;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5004;201;Arbach;4,40;  142;  65;  77;  32;56769;7,044341;50,283528;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5004;202;Bereborn;2,57;  113;  52;  61;  44;56769;6,969497;50,280708;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5004;203;Berenbach;3,15;  171;  90;  81;  54;56766;6,955333;50,233574;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5004;205;Bodenbach;4,78;  211;  111;  100;  44;53539;6,848721;50,312293;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5004;206;Bongard;6,64;  240;  130;  110;  36;53539;6,836001;50,292807;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5004;207;Borler;4,54;  71;  36;  35;  16;53539;6,827962;50,312946;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5004;208;Brücktal;2,42;  68;  36;  32;  28;53539;6,980048;50,317451;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5004;210;Drees;4,11;  160;  73;  87;  39;53520;6,996447;50,340184;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5004;212;Gelenberg;3,95;  86;  45;  41;  22;53539;6,863228;50,290773;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5004;213;Gunderath;1,29;  108;  56;  52;  84;56767;6,97902;50,25468;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5004;215;Höchstberg;4,85;  352;  172;  180;  73;56767;7,005109;50,242769;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5004;216;Horperath;2,40;  123;  58;  65;  51;56766;6,953626;50,244322;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5004;217;Kaperich;2,69;  179;  93;  86;  67;56767;7,025031;50,248599;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5004;218;Kelberg;24,62; 2 019; 1 012; 1 007;  82;53539;6,918408;50,286294;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5004;220;Kirsbach;3,41;  78;  42;  36;  23;53539;6,994117;50,325178;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5004;221;Kötterichen;1,31;  110;  57;  53;  84;56767;6,983914;50,239941;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5004;222;Kolverath;2,46;  107;  50;  57;  43;56767;6,969972;50,270616;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5004;224;Lirstal;5,26;  211;  106;  105;  40;56767;7,040692;50,25609;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5004;225;Mannebach;7,34;  235;  125;  110;  32;56769;6,986487;50,282473;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5004;226;Mosbruch;3,39;  152;  82;  70;  45;56767;6,939145;50,261402;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5004;228;Nitz;1,08;  34;  21;  13;  31;56729;7,023789;50,333593;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5004;230;Oberelz;5,55;  127;  63;  64;  23;56767;7,05106;50,267418;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5004;233;Reimerath;2,54;  62;  34;  28;  24;53539;6,960423;50,310334;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5004;234;Retterath;5,50;  315;  149;  166;  57;56769;7,016182;50,271579;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5004;236;Sassen;3,33;  81;  40;  41;  24;56767;6,966065;50,265938;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5004;242;Uersfeld;4,26;  698;  352;  346;  164;56767;7,010519;50,254112;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5004;243;Ueß;1,49;  42;  25;  17;  28;56767;6,934962;50,253723;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5004;244;Welcherath;3,18;  121;  63;  58;  38;53539;6,966335;50,320398;J12;Eifel;03;gering besiedelt;
50;53;07;2;33;5005;;Obere Kyll;;  ;  ;  ;;;;;;;;;
60;64;07;2;33;5005;007;Birgel;6,52;  438;  226;  212;  67;54587;6,620407;50,321503;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5005;022;Esch;10,17;  425;  204;  221;  42;54585;6,61127;50,364947;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5005;023;Feusdorf;4,42;  508;  263;  245;  115;54584;6,610288;50,348903;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5005;028;Gönnersdorf;5,17;  472;  251;  221;  91;54584;6,594609;50,32644;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5005;035;Jünkerath;10,09; 1 771;  910;  861;  176;54584;6,583364;50,342514;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5005;041;Lissendorf;10,37; 1 096;  531;  565;  106;54587;6,603569;50,314446;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5005;214;Hallschlag;12,74;  493;  246;  247;  39;54611;6,437988;50,354821;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5005;219;Kerschenbach;6,92;  208;  116;  92;  30;54589;6,499026;50,347764;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5005;232;Ormont;12,44;  363;  189;  174;  29;54597;6,442819;50,327255;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5005;235;Reuth;7,15;  173;  85;  88;  24;54597;6,486681;50,295088;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5005;237;Scheid;5,49;  125;  70;  55;  23;54611;6,422289;50,359626;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5005;239;Schüller;4,36;  321;  157;  164;  74;54586;6,572609;50,335384;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5005;240;Stadtkyll;20,78; 1 520;  773;  747;  73;54589;6,529148;50,349756;J12;Eifel;03;gering besiedelt;
60;64;07;2;33;5005;241;Steffeln;20,92;  647;  335;  312;  31;54597;6,567378;50,287351;J12;Eifel;03;gering besiedelt;
40;44;07;2;35;;;Trier-Saarburg;;  ;  ;  ;;;;;;;;;
50;53;07;2;35;5001;;Hermeskeil;;  ;  ;  ;;;;;;;;;
