Gemeinden in Deutschland nach Fläche, Bevölkerung und Postleitzahl am 31.12.2017 (Jahr);;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Satz-art;Text-kenn-zeichen;Regionalschlüssel (RS);;;;;Gemeindename;"Fläche km2 1)
am 31.12.2017";Bevölkerung2);;;;Post-leit-zahl3);Geografische Mittelpunktkoordinaten;;Reisegebiete;;Grad der Verstädterung;
;;Land;RB;Kreis;VB;Gem;;;insgesamt;männlich;weiblich;je km2;;Längengrad;Breitengrad;;;;
;;Gebietsstand am 31.12.2017 (Jahr);;;;;;;am 31.12.2017 (Jahr) ;;;;;Zuordnungsstand am 31.12.2017;;Schlüssel;Bezeichnung;Schlüssel;Bezeichnung
;;;;;;;;;;;;;;;;;;;
60;63;1;0;53;116;116;Schwarzenbek, Stadt;11,55; 16 374; 8 067; 8 307; 1 418;21493;10,477663;53,502645;F04;übrig. Schleswig-Holstein;2;mittlere Besiedlungsdichte
50;50;1;0;53;129;;Wentorf bei Hamburg;;;;;;;;;;;;
60;64;1;0;53;129;129;Wentorf bei Hamburg;6,87; 12 930; 6 221; 6 709; 1 882;21465;10,2519;53,491012;F04;übrig. Schleswig-Holstein;2;mittlere Besiedlungsdichte
50;51;1;0;53;5308;;Berkenthin;;;;;;;;;;;;
60;64;1;0;53;5308;8;Behlendorf;10,25;391;193;198;38;23919;10,667846;53,699475;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;53;5308;9;Berkenthin;10,25; 2 102; 1 045; 1 057;205;23919;10,638221;53,734488;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;53;5308;11;Bliestorf;10,35;642;314;328;62;23847;10,602527;53,768797;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;53;5308;24;Düchelsdorf;3,01;166;83;83;55;23847;10,580373;53,737072;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;53;5308;34;Göldenitz;5,15;234;119;115;45;23919;10,631501;53,722025;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;53;5308;61;Kastorf;6,9; 1 112;558;554;161;23847;10,570134;53,748875;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;53;5308;67;Klempau;10,07;623;324;299;62;23628;10,660387;53,762851;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;53;5308;75;Krummesse;3,35; 1 756;818;938;524;23628;10,641961;53,780123;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;53;5308;94;Niendorf bei Berkenthin;3,99;190;89;101;48;23919;10,626158;53,702417;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;53;5308;103;Rondeshagen;9,51;814;407;407;86;23919;10,629717;53,753642;F04;übrig. Schleswig-Holstein;3;gering besiedelt
60;64;1;0;53;5308;120;Sierksrade;4;408;217;191;102;23847;10,600344;53,736555;F04;übrig. Schleswig-Holstein;3;gering besiedelt
50;51;1;0;53;5313;;Breitenfelde;;;;;;;;;;;;
